folder,classification,rationale,scene_gate,prim_contact,camera_raise_m,resolution,black_band_frac,img_count,path_length_m,collisions,goal_id,controller_actual,in_h7r_root,immutable,eligible_for_h8_train_val_test,h8_exclusion_reason
h8mx_val_east_A_20260714_215023,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,0.12,640x480,0.0,1451,0.7053,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8mx_val_east_B_20260714_224539,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,0.12,640x480,0.0,1455,0.5025,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8mx_val_lookalike_test_20260714_225818,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,0.12,640x480,0.0,1458,0.2025,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8mx_val_midwest_A_20260714_234300,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,0.12,640x480,0.0,1456,0.5025,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8mx_val_midwest_B_20260714_235324,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,0.12,640x480,0.0,1456,0.504,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8mx_val_val_A_20260714_222106,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,True,0.12,640x480,0.0,1454,0.4955,25,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8mx_val_val_A_retry_20260714_232717,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,True,0.12,640x480,0.0,1458,0.4955,25,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8mx_val_west_C_20260714_220849,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,True,0.12,640x480,0.0,1454,0.4138,7678,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
hospital_low_curvature_C_20260708_143004,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,474,3.5874,,hospital_goal_C,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
hospital_straight_medium_B_20260708_142905,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,620,4.9834,,hospital_goal_B,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
hospital_straight_short_A_20260708_142512,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,257,2.3904,,hospital_goal_A,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
hospital_straight_short_A_20260708_142753,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,362,2.3907,,hospital_goal_A,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
livefinal_low_curvature_20260708_180949,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,469,3.5868,0,hospital_goal_C,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
livefinal_straight_medium_20260708_180855,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,614,4.9829,0,hospital_goal_B,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
livefinal_straight_short_20260708_180802,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,421,2.9884,0,hospital_goal_A,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
manual_arc_20260708_024944,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,285,3.9808,,,unlabelled,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
manual_arc_20260708_030319,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,282,3.9808,,,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
normcmp_F_baseline_20260708_153134,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,418,2.9892,,hospital_fresh_short_F,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
normcmp_F_stopauth_20260708_153225,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,235,0.948,,hospital_fresh_short_F,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
normcmp_G_baseline_20260708_153849,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,510,3.9865,,hospital_fresh_medium_G,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
normcmp_G_stopauth_20260708_153944,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,347,2.0555,,hospital_fresh_medium_G,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
physeval_base_A_20260708_172420,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,423,2.9885,0,hospital_goal_A,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
physeval_base_D_20260708_172509,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,425,2.9891,0,hospital_holdout_short_D,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
physeval_base_F_20260708_172559,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,424,2.9887,0,hospital_fresh_short_F,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
physeval_collision_control2_20260708_173407,DIAGNOSTIC_EVIDENCE,hospital prim-contact evidence only; no scene-identity gate,False,True,,640x480,0.3854,215,1.9869,27,hospital_fresh_short_F,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
physeval_ema_A_20260708_172649,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,424,2.9896,0,hospital_goal_A,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
physeval_ema_D_20260708_172739,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,423,2.9893,0,hospital_holdout_short_D,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
physeval_ema_F_20260708_172828,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,425,2.9892,0,hospital_fresh_short_F,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_ft_I_a_20260709_025233,PERMANENTLY_REJECTED,"all-black RGB stream (0 luminance, frames identical)",False,True,,640x480,1.0,744,0.0567,3598,h2_corridor_I,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_ft_I_b_20260709_095236,PERMANENTLY_REJECTED,"all-black RGB stream (0 luminance, frames identical)",False,True,,640x480,1.0,748,0.0991,3598,h2_corridor_I,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_ft_M_solo_20260710_001614,PERMANENTLY_REJECTED,"all-black RGB stream (0 luminance, frames identical)",False,True,,640x480,1.0,822,0.2096,4198,h2_test_occluded_M,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_td_H_r2_20260709_213946,PERMANENTLY_REJECTED,"all-black RGB stream (0 luminance, frames identical)",False,True,,640x480,1.0,1278,2.128,3600,h2_long_turn_H,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_td_I_solo_20260709_233353,PERMANENTLY_REJECTED,"all-black RGB stream (0 luminance, frames identical)",False,True,,640x480,1.0,712,0.0578,3598,h2_corridor_I,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_td_M_solo_20260710_012744,PERMANENTLY_REJECTED,"all-black RGB stream (0 luminance, frames identical)",False,True,,640x480,1.0,837,0.1978,4198,h2_test_occluded_M,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8mx_calib_lobby_20260714_214205,PERMANENTLY_REJECTED,"blown-out static frame, zero motion",True,False,0.12,640x480,0.0,96,0.0,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
smoke_drive_20260708,PERMANENTLY_REJECTED,no RGB stream recorded,False,False,,640x480,,0,,,,unlabelled,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
yaw_test_20260708_060146,PERMANENTLY_REJECTED,no RGB stream recorded,False,False,,640x480,,0,1.3409,,,unlabelled,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
yaw_test_20260708_060741,PERMANENTLY_REJECTED,no RGB stream recorded,False,False,,640x480,,0,1.3556,,,unlabelled,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
yaw_test_20260708_061301,PERMANENTLY_REJECTED,no RGB stream recorded,False,False,,640x480,,0,1.3763,,,unlabelled,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
yaw_test_20260710_063415,PERMANENTLY_REJECTED,no RGB stream recorded,False,False,,640x480,,0,2.5519,,,unlabelled,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
yaw_test_20260710_084009,PERMANENTLY_REJECTED,no RGB stream recorded,False,False,,640x480,,0,1.1584,,,unlabelled,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
yaw_test_20260710_085548,PERMANENTLY_REJECTED,no RGB stream recorded,False,False,,640x480,,0,1.1584,,,unlabelled,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
yaw_test_20260710_172200,PERMANENTLY_REJECTED,no RGB stream recorded,False,False,,640x480,,0,1.1584,,,unlabelled,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
yaw_test_20260710_173751,PERMANENTLY_REJECTED,no RGB stream recorded,False,False,,640x480,,0,1.1561,,,unlabelled,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
yaw_test_20260710_180103,PERMANENTLY_REJECTED,no RGB stream recorded,False,False,,640x480,,0,1.6093,,,unlabelled,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
yaw_test_20260710_180647,PERMANENTLY_REJECTED,no RGB stream recorded,False,False,,640x480,,0,2.6593,,,unlabelled,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
